number_of_elements,threads_per_block,time,iter
10000000,16,1.949024,0
10000000,16,1.958880,1
10000000,16,1.961888,2
10000000,16,1.954432,3
10000000,16,1.955776,4
10000000,32,1.019872,0
10000000,32,1.017248,1
10000000,32,1.018752,2
10000000,32,1.018432,3
10000000,32,1.026528,4
10000000,64,0.485760,0
10000000,64,0.483424,1
10000000,64,0.482816,2
10000000,64,0.482304,3
10000000,64,0.481024,4
10000000,128,0.470208,0
10000000,128,0.469760,1
10000000,128,0.469600,2
10000000,128,0.470816,3
10000000,128,0.472992,4
10000000,256,0.473440,0
10000000,256,0.472512,1
10000000,256,0.470752,2
10000000,256,0.470176,3
10000000,256,0.471968,4
20000000,16,3.883360,0
20000000,16,3.898816,1
20000000,16,3.896544,2
20000000,16,3.895360,3
20000000,16,3.897472,4
20000000,32,2.019872,0
20000000,32,2.024256,1
20000000,32,2.018016,2
20000000,32,2.018432,3
20000000,32,2.013888,4
20000000,64,0.953536,0
20000000,64,0.952224,1
20000000,64,0.950688,2
20000000,64,0.956224,3
20000000,64,0.953568,4
20000000,128,0.933216,0
20000000,128,0.933408,1
20000000,128,0.934912,2
20000000,128,0.935040,3
20000000,128,0.933568,4
20000000,256,0.933632,0
20000000,256,0.933536,1
20000000,256,0.934432,2
20000000,256,0.931872,3
20000000,256,0.933696,4
30000000,16,5.820064,0
30000000,16,5.837664,1
30000000,16,5.833792,2
30000000,16,5.837056,3
30000000,16,5.836384,4
30000000,32,3.021088,0
30000000,32,3.025120,1
30000000,32,3.017440,2
30000000,32,3.020928,3
30000000,32,3.022112,4
30000000,64,1.421728,0
30000000,64,1.419296,1
30000000,64,1.420416,2
30000000,64,1.420032,3
30000000,64,1.421472,4
30000000,128,1.395136,0
30000000,128,1.393952,1
30000000,128,1.394048,2
30000000,128,1.393344,3
30000000,128,1.393472,4
30000000,256,1.391584,0
30000000,256,1.389152,1
30000000,256,1.391008,2
30000000,256,1.388992,3
30000000,256,1.390976,4
40000000,16,7.754304,0
40000000,16,7.766176,1
40000000,16,7.767392,2
40000000,16,7.775072,3
40000000,16,7.765952,4
40000000,32,4.017120,0
40000000,32,4.022144,1
40000000,32,4.019968,2
40000000,32,4.021088,3
40000000,32,4.026144,4
40000000,64,1.881600,0
40000000,64,1.880672,1
40000000,64,1.881952,2
40000000,64,1.879392,3
40000000,64,1.892064,4
40000000,128,1.848320,0
40000000,128,1.848224,1
40000000,128,1.847904,2
40000000,128,1.847776,3
40000000,128,1.850176,4
40000000,256,1.848896,0
40000000,256,1.848416,1
40000000,256,1.844320,2
40000000,256,1.849536,3
40000000,256,1.847936,4
50000000,16,9.685184,0
50000000,16,9.694720,1
50000000,16,9.690432,2
50000000,16,9.689984,3
50000000,16,9.689280,4
50000000,32,5.015616,0
50000000,32,5.022528,1
50000000,32,5.017408,2
50000000,32,5.023808,3
50000000,32,5.021728,4
50000000,64,2.347744,0
50000000,64,2.347136,1
50000000,64,2.345824,2
50000000,64,2.343872,3
50000000,64,2.348256,4
50000000,128,2.299552,0
50000000,128,2.300384,1
50000000,128,2.298496,2
50000000,128,2.300992,3
50000000,128,2.300448,4
50000000,256,2.300992,0
50000000,256,2.298400,1
50000000,256,2.302624,2
50000000,256,2.300608,3
50000000,256,2.299104,4
60000000,16,11.626432,0
60000000,16,11.642496,1
60000000,16,11.643104,2
60000000,16,11.642784,3
60000000,16,11.640896,4
60000000,32,6.016224,0
60000000,32,6.009504,1
60000000,32,6.007072,2
60000000,32,6.019936,3
60000000,32,6.017184,4
60000000,64,2.811872,0
60000000,64,2.812224,1
60000000,64,2.810848,2
60000000,64,2.811872,3
60000000,64,2.814112,4
60000000,128,2.756576,0
60000000,128,2.758016,1
60000000,128,2.756832,2
60000000,128,2.756384,3
60000000,128,2.757696,4
60000000,256,2.756320,0
60000000,256,2.772672,1
60000000,256,2.755424,2
60000000,256,2.756128,3
60000000,256,2.755744,4
70000000,16,13.567360,0
70000000,16,13.584736,1
70000000,16,13.586112,2
70000000,16,13.587680,3
70000000,16,13.585280,4
70000000,32,7.006944,0
70000000,32,7.011488,1
70000000,32,7.010432,2
70000000,32,7.010496,3
70000000,32,7.010368,4
70000000,64,3.279616,0
70000000,64,3.278944,1
70000000,64,3.278880,2
70000000,64,3.281152,3
70000000,64,3.279136,4
70000000,128,3.223648,0
70000000,128,3.222656,1
70000000,128,3.221536,2
70000000,128,3.220864,3
70000000,128,3.222752,4
70000000,256,3.221568,0
70000000,256,3.220576,1
70000000,256,3.219968,2
70000000,256,3.226080,3
70000000,256,3.218848,4
80000000,16,15.503456,0
80000000,16,15.515552,1
80000000,16,15.518432,2
80000000,16,15.519616,3
80000000,16,15.518720,4
80000000,32,8.024992,0
80000000,32,8.012992,1
80000000,32,8.014048,2
80000000,32,8.023456,3
80000000,32,8.016096,4
80000000,64,3.741888,0
80000000,64,3.740736,1
80000000,64,3.740288,2
80000000,64,3.737120,3
80000000,64,3.739776,4
80000000,128,3.669280,0
80000000,128,3.683584,1
80000000,128,3.670976,2
80000000,128,3.671584,3
80000000,128,3.672416,4
80000000,256,3.670528,0
80000000,256,3.670432,1
80000000,256,3.669952,2
80000000,256,3.671264,3
80000000,256,3.683584,4
90000000,16,17.437088,0
90000000,16,17.453920,1
90000000,16,17.450336,2
90000000,16,17.452032,3
90000000,16,17.455839,4
