n,t,i
1024,0.197728,0
1024,0.194688,1
1024,0.192960,2
1024,0.192352,3
1024,0.192544,4
2048,0.752128,0
2048,0.742976,1
2048,0.741376,2
2048,0.741664,3
2048,0.741024,4
3072,1.741312,0
3072,1.726592,1
3072,1.720128,2
3072,1.726400,3
3072,1.718496,4
4096,2.930560,0
4096,2.925984,1
4096,2.924800,2
4096,2.935328,3
4096,2.932768,4
5120,5.012928,0
5120,5.037248,1
5120,4.989312,2
5120,4.989216,3
5120,4.995040,4
6144,6.880672,0
6144,6.871072,1
6144,6.896608,2
6144,6.853344,3
6144,6.863936,4
7168,9.327232,0
7168,9.293024,1
7168,9.303136,2
7168,9.304448,3
7168,9.306176,4
8192,11.704896,0
8192,11.711680,1
8192,11.705152,2
8192,11.702272,3
8192,11.708064,4
9216,12.938592,0
9216,12.919456,1
9216,12.900352,2
9216,12.887808,3
9216,12.966624,4
10240,13.701312,0
10240,13.706528,1
10240,13.736608,2
10240,13.700256,3
10240,13.726304,4
