n,t,i
1028,0.145152,0
1028,0.142784,1
1028,0.141408,2
1028,0.141344,3
1028,0.139744,4
2056,0.542912,0
2056,0.534048,1
2056,0.530464,2
2056,0.532352,3
2056,0.529696,4
3084,1.196128,0
3084,1.198112,1
3084,1.195648,2
3084,1.198112,3
3084,1.198112,4
4112,2.069984,0
4112,2.067200,1
4112,2.070944,2
4112,2.074656,3
4112,2.071712,4
5140,3.302176,0
5140,3.309888,1
5140,3.300352,2
5140,3.303232,3
5140,3.301408,4
6168,4.687744,0
6168,4.690784,1
6168,4.694048,2
6168,4.685472,3
6168,4.687232,4
7196,6.509216,0
7196,6.508544,1
7196,6.506496,2
7196,6.498336,3
7196,6.494144,4
8224,8.245600,0
8224,8.243200,1
8224,8.241472,2
8224,8.252960,3
8224,8.247904,4
9252,8.686752,0
9252,8.683744,1
9252,8.690848,2
9252,8.689344,3
9252,8.685568,4
10280,9.268992,0
10280,9.260480,1
10280,9.269216,2
10280,9.255008,3
10280,9.256064,4
