PI,TIME,PROC_NUM,N,SCALING,TEST_CASE_NUM
3.144872,0.034602,1,1000000,strong,1
3.138092,0.035147,1,1000000,weak,1
3.141400,0.035292,1,1000000,strong,2
3.141272,0.035351,1,1000000,weak,2
3.140540,0.034781,1,1000000,strong,3
3.142680,0.034967,1,1000000,weak,3
3.141080,0.035233,1,1000000,strong,4
3.142520,0.034850,1,1000000,weak,4
3.142868,0.035164,1,1000000,strong,5
3.140652,0.035269,1,1000000,weak,5
3.145340,0.034894,1,1000000,strong,6
3.140792,0.034821,1,1000000,weak,6
3.142256,0.034553,1,1000000,strong,7
3.142356,0.034888,1,1000000,weak,7
3.141632,0.035349,1,1000000,strong,8
3.136636,0.035304,1,1000000,weak,8
3.141932,0.035050,1,1000000,strong,9
3.142368,0.034556,1,1000000,weak,9
3.142592,0.034738,1,1000000,strong,10
3.143364,0.034876,1,1000000,weak,10
3.140724,0.034552,1,1000000,strong,11
3.141528,0.034859,1,1000000,weak,11
3.139248,0.034714,1,1000000,strong,12
3.140120,0.035300,1,1000000,weak,12
3.139624,0.035429,1,1000000,strong,13
3.141488,0.034631,1,1000000,weak,13
3.140668,0.034994,1,1000000,strong,14
3.145088,0.035285,1,1000000,weak,14
3.144752,0.035289,1,1000000,strong,15
3.140164,0.034741,1,1000000,weak,15
3.141764,0.017232,2,1000000,strong,1
3.141642,0.042703,2,1000000,weak,1
3.140568,0.017233,2,1000000,strong,2
3.140958,0.035229,2,1000000,weak,2
3.140944,0.017236,2,1000000,strong,3
3.140970,0.035825,2,1000000,weak,3
3.139908,0.017998,2,1000000,strong,4
3.142980,0.042677,2,1000000,weak,4
3.141932,0.017233,2,1000000,strong,5
3.140882,0.034414,2,1000000,weak,5
3.139176,0.018148,2,1000000,strong,6
3.140738,0.034445,2,1000000,weak,6
3.141476,0.025255,2,1000000,strong,7
3.142362,0.034413,2,1000000,weak,7
3.141340,0.025393,2,1000000,strong,8
3.143556,0.034426,2,1000000,weak,8
3.142356,0.017230,2,1000000,strong,9
3.143990,0.034438,2,1000000,weak,9
3.142852,0.017252,2,1000000,strong,10
3.143052,0.034796,2,1000000,weak,10
3.140416,0.017233,2,1000000,strong,11
3.141930,0.034419,2,1000000,weak,11
3.145140,0.017966,2,1000000,strong,12
3.143338,0.034440,2,1000000,weak,12
3.140864,0.017229,2,1000000,strong,13
3.140882,0.034408,2,1000000,weak,13
3.142324,0.017226,2,1000000,strong,14
3.142934,0.034990,2,1000000,weak,14
3.140032,0.025481,2,1000000,strong,15
3.139726,0.042655,2,1000000,weak,15
3.139848,0.011518,3,1000000,strong,1
3.142129,0.034408,3,1000000,weak,1
3.144628,0.011788,3,1000000,strong,2
3.141561,0.034413,3,1000000,weak,2
3.143324,0.013300,3,1000000,strong,3
3.141201,0.034420,3,1000000,weak,3
3.141828,0.011875,3,1000000,strong,4
3.141485,0.034634,3,1000000,weak,4
3.141684,0.011512,3,1000000,strong,5
3.141401,0.034432,3,1000000,weak,5
3.143144,0.011496,3,1000000,strong,6
3.140787,0.034427,3,1000000,weak,6
3.142976,0.011506,3,1000000,strong,7
3.140920,0.034423,3,1000000,weak,7
3.139380,0.011517,3,1000000,strong,8
3.140935,0.034437,3,1000000,weak,8
3.142336,0.011499,3,1000000,strong,9
3.141109,0.034432,3,1000000,weak,9
3.140016,0.011510,3,1000000,strong,10
3.140595,0.034432,3,1000000,weak,10
3.140376,0.019505,3,1000000,strong,11
3.140956,0.034419,3,1000000,weak,11
3.142720,0.011640,3,1000000,strong,12
3.142560,0.034424,3,1000000,weak,12
3.143700,0.011509,3,1000000,strong,13
3.141921,0.035341,3,1000000,weak,13
3.141532,0.011494,3,1000000,strong,14
3.141804,0.034427,3,1000000,weak,14
3.142360,0.011506,3,1000000,strong,15
3.142627,0.034434,3,1000000,weak,15
3.140484,0.008647,4,1000000,strong,1
3.141310,0.042502,4,1000000,weak,1
3.141696,0.016691,4,1000000,strong,2
3.141398,0.034546,4,1000000,weak,2
3.140780,0.009052,4,1000000,strong,3
3.141000,0.034730,4,1000000,weak,3
3.144604,0.008856,4,1000000,strong,4
3.141389,0.034455,4,1000000,weak,4
3.142416,0.008762,4,1000000,strong,5
3.140868,0.035319,4,1000000,weak,5
3.142508,0.008970,4,1000000,strong,6
