Message_size, Throughtput, Standard deviation
40, 345.957066, 78.465837
80, 643.597247, 104.427955
200, 1353.094855, 330.036890
400, 2659.618362, 497.336282
800, 4420.255053, 910.331676
2000, 6870.885482, 1256.534152
4000, 8895.936292, 1663.113445
8000, 11268.527625, 1707.019489
20000, 13907.907531, 1791.074330
40000, 14514.982582, 1879.560144
80000, 11851.430116, 1751.430365
200000, 13836.533779, 1649.939618
400000, 14754.747148, 1542.115316
800000, 15231.371367, 1528.403229
2000000, 15342.461503, 1573.744242
4000000, 14964.765528, 1432.975667
8000000, 10473.834086, 573.553526
20000000, 8677.828570, 283.474995
40000000, 6705.105889, 52.588787
