Message_size, Throughtput, Standard deviation
40, 3.641098, 0.284831
80, 7.270346, 0.353929
200, 18.194014, 0.990094
400, 36.118314, 2.109843
800, 71.910043, 3.979640
2000, 108.548712, 4.991827
4000, 213.367019, 7.796481
8000, 407.241770, 16.194272
20000, 800.539674, 53.475420
40000, 1288.280043, 213.881578
80000, 1922.373587, 253.327775
200000, 2074.454446, 114.507626
400000, 1784.188140, 1084.761440
800000, 2746.155047, 634.013863
2000000, 3182.409154, 189.939871
4000000, 3636.963112, 756.450524
8000000, 3253.141241, 887.384208
20000000, 3117.486959, 867.438673
40000000, 2635.167106, 963.190692
