Message_size, Throughtput, Standard deviation
40, 481.959011, 133.074453
80, 896.533751, 202.889048
200, 1847.578202, 463.344575
400, 3493.253625, 851.583263
800, 5935.038209, 1366.372621
2000, 10297.992164, 2366.957090
4000, 14637.307694, 2898.917984
8000, 17519.903217, 2925.604689
20000, 18106.109899, 2349.672136
40000, 19934.435952, 2357.607317
80000, 21501.735393, 3663.170875
200000, 25222.192639, 2353.639676
400000, 26853.276471, 1636.351230
800000, 27993.243430, 802.401479
2000000, 28941.694101, 396.287684
4000000, 29411.685458, 397.800268
8000000, 29091.506005, 228.068656
20000000, 23022.952284, 111.247457
40000000, 22974.039818, 80.344462
