Message_size, Throughtput, Standard deviation
40, 3.392503, 0.385705
80, 6.544158, 0.378377
200, 16.939024, 0.940622
400, 35.082844, 1.651974
800, 68.320965, 4.091352
2000, 114.919114, 5.533133
4000, 225.507368, 9.900137
8000, 436.795716, 17.104775
20000, 841.597299, 25.730978
40000, 1348.783032, 229.789901
80000, 1879.157723, 304.639214
200000, 1871.164480, 38.357736
400000, 2449.773066, 64.335435
800000, 2828.846741, 52.299767
2000000, 3024.900775, 768.836188
4000000, 4348.538981, 828.816167
8000000, 4965.684713, 735.797027
20000000, 3686.685415, 1101.103918
40000000, 3472.807444, 1203.259626
