TIME,ARR_SIZE,SCHEDULE_TYPE,CHUNK_SIZE,TEST_CASE_NUM
0.003567,4000000,static,-1,1
0.003856,4000000,static,-1,2
0.003828,4000000,static,-1,3
0.003855,4000000,static,-1,4
0.003337,4000000,static,-1,5
0.003839,4000000,static,-1,6
0.003824,4000000,static,-1,7
0.003801,4000000,static,-1,8
0.003410,4000000,static,-1,9
0.003799,4000000,static,-1,10
0.003420,4000000,static,-1,11
0.003930,4000000,static,-1,12
0.003855,4000000,static,-1,13
0.003759,4000000,static,-1,14
0.003871,4000000,static,-1,15
0.003714,4000000,static,-1,16
0.003830,4000000,static,-1,17
0.003593,4000000,static,-1,18
0.003393,4000000,static,-1,19
0.003382,4000000,static,-1,20
0.005542,4000000,static,1,1
0.004974,4000000,static,1,2
0.005899,4000000,static,1,3
0.004918,4000000,static,1,4
0.007233,4000000,static,1,5
0.004286,4000000,static,1,6
0.004704,4000000,static,1,7
0.004990,4000000,static,1,8
0.004627,4000000,static,1,9
0.004497,4000000,static,1,10
0.005269,4000000,static,1,11
0.004287,4000000,static,1,12
0.005637,4000000,static,1,13
0.005882,4000000,static,1,14
0.005065,4000000,static,1,15
0.004921,4000000,static,1,16
0.005035,4000000,static,1,17
0.004931,4000000,static,1,18
0.005762,4000000,static,1,19
0.005154,4000000,static,1,20
0.005346,4000000,static,10,1
0.005650,4000000,static,10,2
0.004936,4000000,static,10,3
0.005625,4000000,static,10,4
0.004498,4000000,static,10,5
0.004508,4000000,static,10,6
0.004892,4000000,static,10,7
0.005091,4000000,static,10,8
0.006201,4000000,static,10,9
0.005134,4000000,static,10,10
0.004555,4000000,static,10,11
0.004485,4000000,static,10,12
0.005454,4000000,static,10,13
0.004534,4000000,static,10,14
0.005443,4000000,static,10,15
0.004342,4000000,static,10,16
0.004282,4000000,static,10,17
0.004373,4000000,static,10,18
0.005592,4000000,static,10,19
0.011455,4000000,static,10,20
0.005211,4000000,static,100,1
0.004819,4000000,static,100,2
0.004564,4000000,static,100,3
0.003900,4000000,static,100,4
0.003955,4000000,static,100,5
0.004142,4000000,static,100,6
0.004283,4000000,static,100,7
0.004885,4000000,static,100,8
0.004923,4000000,static,100,9
0.003923,4000000,static,100,10
0.004654,4000000,static,100,11
0.004463,4000000,static,100,12
0.013166,4000000,static,100,13
0.014989,4000000,static,100,14
0.013566,4000000,static,100,15
0.014922,4000000,static,100,16
0.012769,4000000,static,100,17
0.004985,4000000,static,100,18
0.012514,4000000,static,100,19
0.012873,4000000,static,100,20
0.050190,4000000,dynamic,-1,1
0.045370,4000000,dynamic,-1,2
0.044277,4000000,dynamic,-1,3
0.044572,4000000,dynamic,-1,4
0.043412,4000000,dynamic,-1,5
0.043512,4000000,dynamic,-1,6
0.042120,4000000,dynamic,-1,7
0.044160,4000000,dynamic,-1,8
0.044399,4000000,dynamic,-1,9
0.042946,4000000,dynamic,-1,10
0.044070,4000000,dynamic,-1,11
0.043300,4000000,dynamic,-1,12
0.043544,4000000,dynamic,-1,13
0.042984,4000000,dynamic,-1,14
0.042457,4000000,dynamic,-1,15
0.043654,4000000,dynamic,-1,16
0.046384,4000000,dynamic,-1,17
0.046741,4000000,dynamic,-1,18
0.044289,4000000,dynamic,-1,19
0.048970,4000000,dynamic,-1,20
0.042401,4000000,dynamic,1,1
0.043731,4000000,dynamic,1,2
0.044805,4000000,dynamic,1,3
0.044496,4000000,dynamic,1,4
0.043343,4000000,dynamic,1,5
0.043295,4000000,dynamic,1,6
0.049307,4000000,dynamic,1,7
0.043984,4000000,dynamic,1,8
0.042849,4000000,dynamic,1,9
0.049008,4000000,dynamic,1,10
0.042235,4000000,dynamic,1,11
0.047344,4000000,dynamic,1,12
0.046789,4000000,dynamic,1,13
0.043618,4000000,dynamic,1,14
0.043251,4000000,dynamic,1,15
0.043545,4000000,dynamic,1,16
0.048392,4000000,dynamic,1,17
0.046163,4000000,dynamic,1,18
0.043268,4000000,dynamic,1,19
0.043514,4000000,dynamic,1,20
0.010003,4000000,dynamic,10,1
0.010280,4000000,dynamic,10,2
0.009332,4000000,dynamic,10,3
0.008914,4000000,dynamic,10,4
0.009941,4000000,dynamic,10,5
0.009535,4000000,dynamic,10,6
0.009684,4000000,dynamic,10,7
0.010215,4000000,dynamic,10,8
0.009409,4000000,dynamic,10,9
0.009656,4000000,dynamic,10,10
0.009159,4000000,dynamic,10,11
0.009757,4000000,dynamic,10,12
0.009408,4000000,dynamic,10,13
0.010175,4000000,dynamic,10,14
0.010539,4000000,dynamic,10,15
0.009242,4000000,dynamic,10,16
0.010083,4000000,dynamic,10,17
0.009632,4000000,dynamic,10,18
0.010295,4000000,dynamic,10,19
0.009751,4000000,dynamic,10,20
0.004880,4000000,dynamic,100,1
0.004316,4000000,dynamic,100,2
0.005629,4000000,dynamic,100,3
0.004677,4000000,dynamic,100,4
0.004549,4000000,dynamic,100,5
0.004460,4000000,dynamic,100,6
0.004593,4000000,dynamic,100,7
0.005552,4000000,dynamic,100,8
0.005457,4000000,dynamic,100,9
0.005506,4000000,dynamic,100,10
0.004573,4000000,dynamic,100,11
0.004440,4000000,dynamic,100,12
0.005785,4000000,dynamic,100,13
0.005193,4000000,dynamic,100,14
0.004469,4000000,dynamic,100,15
0.005238,4000000,dynamic,100,16
0.004511,4000000,dynamic,100,17
0.005673,4000000,dynamic,100,18
0.004300,4000000,dynamic,100,19
0.005135,4000000,dynamic,100,20
0.003895,4000000,guided,-1,1
0.003327,4000000,guided,-1,2
0.003436,4000000,guided,-1,3
0.003891,4000000,guided,-1,4
0.003858,4000000,guided,-1,5
0.003890,4000000,guided,-1,6
0.003450,4000000,guided,-1,7
0.003422,4000000,guided,-1,8
0.003431,4000000,guided,-1,9
0.003887,4000000,guided,-1,10
0.003895,4000000,guided,-1,11
0.003957,4000000,guided,-1,12
0.003866,4000000,guided,-1,13
0.003389,4000000,guided,-1,14
0.003833,4000000,guided,-1,15
0.003892,4000000,guided,-1,16
0.003869,4000000,guided,-1,17
0.003454,4000000,guided,-1,18
0.003422,4000000,guided,-1,19
0.003416,4000000,guided,-1,20
0.003429,4000000,guided,1,1
0.003872,4000000,guided,1,2
0.003920,4000000,guided,1,3
0.003924,4000000,guided,1,4
0.003426,4000000,guided,1,5
