N,B,P,TEST_CASE_NUM,T_A,T_B,T_C,T_D,T_E,IS_SORTED
10000,10,1,1,0.000148,0.000255,0.001646,0.000046,0.002095,true
10000,10,1,2,0.000152,0.000281,0.001614,0.000046,0.002093,true
10000,10,1,3,0.000167,0.000278,0.001630,0.000045,0.002121,true
10000,10,1,4,0.000164,0.000260,0.001631,0.000067,0.002122,true
10000,10,1,5,0.000150,0.000261,0.001644,0.000046,0.002100,true
10000,10,1,6,0.000150,0.000261,0.001673,0.000046,0.002129,true
10000,10,1,7,0.000150,0.000273,0.001639,0.000046,0.002107,true
10000,10,1,8,0.000149,0.000260,0.001662,0.000046,0.002117,true
10000,10,1,9,0.000148,0.000274,0.001616,0.000046,0.002085,true
10000,10,1,10,0.000148,0.000270,0.001616,0.000046,0.002081,true
10000,10,1,11,0.000149,0.000274,0.001618,0.000046,0.002087,true
10000,10,1,12,0.000149,0.000263,0.001649,0.000046,0.002107,true
10000,10,1,13,0.000149,0.000275,0.001618,0.000045,0.002088,true
10000,10,1,14,0.000148,0.000288,0.001608,0.000047,0.002091,true
10000,10,1,15,0.000162,0.000258,0.001631,0.000047,0.002098,true
10000,10,1,16,0.000163,0.000268,0.001616,0.000046,0.002092,true
10000,10,1,17,0.000149,0.000267,0.001632,0.000046,0.002093,true
10000,10,1,18,0.000148,0.000260,0.001626,0.000046,0.002079,true
10000,10,1,19,0.000150,0.000260,0.001637,0.000046,0.002093,true
10000,10,1,20,0.000149,0.000283,0.001620,0.000046,0.002098,true
10000,10,2,1,0.000155,0.000335,0.000935,0.000026,0.001451,true
10000,10,2,2,0.000162,0.000320,0.000999,0.000042,0.001523,true
10000,10,2,3,0.000152,0.000333,0.000949,0.000039,0.001473,true
10000,10,2,4,0.000153,0.000334,0.001019,0.000027,0.001533,true
10000,10,2,5,0.000153,0.000306,0.001023,0.000037,0.001519,true
10000,10,2,6,0.000153,0.000311,0.001004,0.000036,0.001504,true
10000,10,2,7,0.000154,0.000336,0.000972,0.000042,0.001504,true
10000,10,2,8,0.000154,0.000327,0.000994,0.000036,0.001510,true
10000,10,2,9,0.000151,0.000312,0.001035,0.000032,0.001530,true
10000,10,2,10,0.000154,0.000345,0.000991,0.000032,0.001522,true
10000,10,2,11,0.000166,0.000339,0.000952,0.000026,0.001482,true
10000,10,2,12,0.000164,0.000313,0.000966,0.000032,0.001475,true
10000,10,2,13,0.000153,0.000315,0.001025,0.000034,0.001527,true
10000,10,2,14,0.000154,0.000322,0.001025,0.000031,0.001532,true
10000,10,2,15,0.000149,0.000308,0.000994,0.000031,0.001482,true
10000,10,2,16,0.000165,0.000297,0.000996,0.000031,0.001489,true
10000,10,2,17,0.000155,0.000327,0.000978,0.000036,0.001496,true
10000,10,2,18,0.000156,0.000302,0.002309,0.000035,0.002802,true
10000,10,2,19,0.000153,0.000330,0.000924,0.000030,0.001437,true
10000,10,2,20,0.004906,0.000269,0.000844,0.000493,0.006512,true
10000,10,3,1,0.000169,0.000328,0.000829,0.000103,0.001429,true
10000,10,3,2,0.000166,0.000332,0.000781,0.000110,0.001389,true
10000,10,3,3,0.000166,0.000316,0.000844,0.000125,0.001451,true
10000,10,3,4,0.000167,0.000304,0.000805,0.000104,0.001380,true
10000,10,3,5,0.000191,0.000327,0.000859,0.000122,0.001499,true
10000,10,3,6,0.000167,0.000331,0.000808,0.000113,0.001420,true
10000,10,3,7,0.000175,0.000310,0.000738,0.000109,0.001331,true
10000,10,3,8,0.000167,0.000288,0.000851,0.000105,0.001412,true
10000,10,3,9,0.000168,0.000298,0.000798,0.000106,0.001370,true
10000,10,3,10,0.000168,0.000343,0.000832,0.000110,0.001453,true
10000,10,3,11,0.000167,0.000319,0.000841,0.000102,0.001429,true
10000,10,3,12,0.000179,0.000304,0.000801,0.000115,0.001399,true
10000,10,3,13,0.000183,0.000300,0.000703,0.000107,0.001293,true
10000,10,3,14,0.000166,0.000318,0.000876,0.000115,0.001475,true
10000,10,3,15,0.000168,0.000312,0.000800,0.000147,0.001427,true
10000,10,3,16,0.000165,0.000333,0.000763,0.000121,0.001382,true
10000,10,3,17,0.000179,0.000312,0.000825,0.000104,0.001421,true
10000,10,3,18,0.000166,0.000339,0.000807,0.000115,0.001427,true
10000,10,3,19,0.000174,0.000297,0.000823,0.000113,0.001407,true
10000,10,3,20,0.000165,0.000311,0.000798,0.000132,0.001406,true
10000,10,4,1,0.000208,0.000324,0.000653,0.000108,0.001294,true
10000,10,4,2,0.000200,0.000336,0.000743,0.000099,0.001378,true
10000,10,4,3,0.000195,0.000327,0.000753,0.000085,0.001359,true
10000,10,4,4,0.000202,0.000346,0.000702,0.000114,0.001363,true
10000,10,4,5,0.000197,0.000337,0.000750,0.000106,0.001390,true
10000,10,4,6,0.000194,0.000305,0.000785,0.000123,0.001406,true
10000,10,4,7,0.000201,0.000335,0.000709,0.000107,0.001352,true
10000,10,4,8,0.000193,0.000331,0.000721,0.000108,0.001352,true
10000,10,4,9,0.000193,0.000303,0.000755,0.000154,0.001405,true
10000,10,4,10,0.000192,0.000299,0.000610,0.000109,0.001210,true
10000,10,4,11,0.004187,0.000277,0.001989,0.001359,0.007811,true
10000,10,4,12,0.000194,0.000333,0.000773,0.000102,0.001402,true
10000,10,4,13,0.000193,0.000313,0.000812,0.000089,0.001406,true
10000,10,4,14,0.000218,0.000349,0.000708,0.000121,0.001395,true
10000,10,4,15,0.000193,0.000331,0.000751,0.000080,0.001354,true
10000,10,4,16,0.000192,0.000315,0.000780,0.000111,0.001398,true
10000,10,4,17,0.000198,0.000337,0.000824,0.000090,0.001449,true
10000,10,4,18,0.000195,0.000303,0.000794,0.000089,0.001381,true
10000,10,4,19,0.000191,0.000289,0.000761,0.000096,0.001337,true
10000,10,4,20,0.000190,0.000334,0.000727,0.000085,0.001337,true
10000,100,1,1,0.000145,0.000228,0.000993,0.000052,0.001419,true
10000,100,1,2,0.000146,0.000243,0.000988,0.000052,0.001428,true
10000,100,1,3,0.000144,0.000225,0.000981,0.000051,0.001402,true
10000,100,1,4,0.000145,0.000243,0.000989,0.000052,0.001430,true
10000,100,1,5,0.000161,0.000228,0.000992,0.000052,0.001433,true
10000,100,1,6,0.000147,0.000228,0.001001,0.000052,0.001429,true
10000,100,1,7,0.000145,0.000251,0.000988,0.000052,0.001436,true
10000,100,1,8,0.000147,0.000245,0.000996,0.000051,0.001439,true
10000,100,1,9,0.000160,0.000224,0.000998,0.000052,0.001434,true
10000,100,1,10,0.000146,0.000226,0.000984,0.000051,0.001407,true
10000,100,1,11,0.000144,0.000225,0.000994,0.000055,0.001418,true
10000,100,1,12,0.000147,0.000236,0.001002,0.000053,0.001438,true
10000,100,1,13,0.000148,0.000218,0.000994,0.000052,0.001411,true
10000,100,1,14,0.000149,0.000233,0.000989,0.000052,0.001423,true
10000,100,1,15,0.000160,0.000219,0.000997,0.000053,0.001429,true
10000,100,1,16,0.000146,0.000228,0.000998,0.000052,0.001424,true
10000,100,1,17,0.000146,0.000219,0.001007,0.000052,0.001423,true
10000,100,1,18,0.000147,0.000219,0.001004,0.000053,0.001423,true
10000,100,1,19,0.000145,0.000220,0.000994,0.000053,0.001412,true
10000,100,1,20,0.000148,0.000233,0.000984,0.000052,0.001416,true
10000,100,2,1,0.000189,0.000240,0.000500,0.000032,0.000962,true
10000,100,2,2,0.000181,0.000235,0.000498,0.000030,0.000944,true
10000,100,2,3,0.000170,0.000241,0.000514,0.000029,0.000954,true
10000,100,2,4,0.000154,0.000243,0.000513,0.000030,0.000940,true
10000,100,2,5,0.000157,0.000250,0.000498,0.000028,0.000932,true
